State/UT,District,Year,Murder,Attempt_To_Murder,Culpable_Homicide_Not_Amounting_To_Murder,Rape,Kidnapping_And_Abduction_Of_Women_And_Girls,Kidnapping_And_Abduction_Of_Others,Dacoity,Robbery,Burglary,Auto_Theft,Other_Theft,Riots,Criminal_Breach_Of_Trust,Cheating,Counterfieting,Arson,Hurt/Grevious_Hurt,Dowry_Deaths,Assault_On_Women_With_Intent_To_Outrage_Her_Modesty,Insult_To_Modesty_Of_Women,Cruelty_By_Husband_Or_His_Relatives,Causing_Death_By_Negligence,Other_Ipc_Crimes,Total_Ipc_Crimes,Total_Crimes
Bihar,Lakhisarai,2011,40,8,1,5,31,20,6,19,30,31,95,100,15,47,1,9,180,14,12,0,44,66,469,1243,4497
Bihar,Madhepura,2011,44,12,1,8,67,11,6,30,24,38,125,231,41,62,0,7,299,11,0,0,21,56,715,1810,5630
Bihar,Madhubani,2011,81,8,0,44,148,34,18,35,109,125,267,388,0,37,2,0,940,35,0,0,138,93,2158,4660,11331
Bihar,Motihari,2011,136,741,38,37,179,30,13,58,174,191,389,641,89,135,10,33,1055,69,8,0,57,56,3350,7489,16989
Bihar,Munger,2011,68,49,5,7,56,16,12,44,51,43,177,159,2,78,0,7,731,10,2,0,49,45,368,1981,5971
Bihar,Muzaffarpur,2011,154,24,14,56,219,36,30,86,204,373,761,445,52,226,0,36,247,76,4,0,91,347,3338,6827,15657
Bihar,Muzaffarpur Rly.,2011,11,2,1,0,4,2,8,6,6,36,231,10,2,10,0,0,7,1,11,0,0,9,167,524,3059
Bihar,Nalanda,2011,84,61,24,15,72,9,2,27,93,104,143,163,48,140,0,10,1116,55,29,0,96,236,1999,4527,11064
Bihar,Naugachia,2011,44,20,36,7,20,18,5,9,18,1,48,118,41,60,0,7,223,8,6,0,44,122,621,1478,4965
Bihar,Nawadah,2011,74,29,5,12,33,30,16,21,45,49,131,197,26,79,2,5,176,21,35,0,57,114,1358,2523,7049
Bihar,Patna,2011,248,25,4,41,167,197,52,161,545,1321,1558,534,21,686,20,3,1036,112,1,2,317,511,6140,13712,29425
Bihar,Patna Rly.,2011,16,10,2,1,0,6,7,17,6,76,694,20,0,13,0,0,0,2,11,0,0,0,257,1143,4292
Bihar,Purnea,2011,86,48,7,62,78,53,9,22,57,46,140,178,62,230,0,51,275,13,24,3,140,140,1606,3332,8673
Bihar,Rohtas,2011,126,95,4,20,84,22,23,45,184,215,392,249,29,85,0,59,1521,32,46,0,57,375,533,4203,10410
Bihar,Saharsa,2011,34,109,5,8,41,22,5,36,57,28,97,288,41,73,0,15,216,17,35,0,27,57,806,2020,6048
Bihar,Samastipur,2011,107,221,11,40,105,61,14,54,89,110,228,336,45,91,4,37,308,46,9,2,66,175,2054,4216,10440
Bihar,Saran,2011,123,408,27,10,137,9,10,43,115,168,356,428,61,76,0,28,646,74,46,0,131,200,2103,5200,12410
Bihar,Sheikhpura,2011,33,8,0,3,14,8,3,5,20,22,73,47,22,44,0,5,188,8,0,0,35,67,426,1031,4073
Bihar,Sheohar,2011,13,23,1,4,20,5,25,8,15,8,37,55,14,9,0,5,324,5,3,1,15,11,13,614,3239
Bihar,Sitamarhi,2011,71,33,4,8,49,9,18,39,116,237,221,229,6,20,0,20,44,29,14,0,33,94,2328,3624,9257
Bihar,Siwan,2011,85,180,0,16,150,46,13,16,87,89,220,295,31,55,0,15,175,139,4,3,53,220,1510,3408,8821
Bihar,Supaul,2011,49,12,4,23,48,30,5,13,34,44,189,253,76,38,0,10,313,24,8,0,28,53,788,2043,6096
Bihar,Vaishali,2011,110,77,15,18,147,86,16,69,148,345,343,352,113,76,1,24,276,76,26,0,59,213,2064,4661,11326
Bihar,Araria,2012,81,107,15,53,78,44,7,16,39,37,183,190,16,34,0,38,514,21,8,7,32,98,906,2526,7062
Bihar,Arwal,2012,20,72,5,5,24,2,1,6,29,3,57,32,11,16,0,4,375,13,0,0,22,25,136,858,3728
Bihar,Aurangabad,2012,89,192,2,22,58,13,32,45,73,63,267,320,42,95,0,22,1148,27,2,0,110,176,481,3279,8570
Bihar,Bagaha,2012,43,0,0,11,69,7,2,8,48,17,109,150,43,22,0,43,43,9,0,0,37,23,1045,1729,5470
Bihar,Banka,2012,76,35,3,17,45,7,15,24,45,25,111,201,21,39,0,12,787,17,0,0,37,110,173,1801,5613
Bihar,Begusarai,2012,120,261,0,11,113,30,14,53,107,125,300,295,21,46,0,29,1469,27,0,0,79,96,521,3717,9446
Bihar,Bettiah,2012,83,150,5,35,141,25,6,24,136,183,470,483,68,115,7,20,2392,28,0,0,20,79,601,5073,12156
Bihar,Bhabhua,2012,48,43,23,10,38,7,3,16,54,95,143,129,31,16,0,28,902,21,0,0,42,42,176,1867,5746
Bihar,Bhagalpur,2012,99,77,6,31,106,26,9,51,140,140,220,271,52,99,3,14,762,24,0,4,119,107,770,3134,8276
Bihar,Bhojpur,2012,71,121,6,9,69,5,13,21,115,86,259,137,12,78,0,18,2188,38,0,0,56,78,465,3846,9703
Bihar,Buxar,2012,56,110,7,21,70,19,13,36,107,104,202,218,65,81,2,38,345,28,29,0,86,43,886,2566,7144
Bihar,Darbhanga,2012,78,407,24,44,150,57,9,46,86,166,294,812,148,174,1,25,1894,34,0,1,377,354,1128,6314,14635
Bihar,Gaya,2012,153,39,4,35,120,34,39,46,147,407,280,397,28,165,1,7,772,53,0,0,92,312,2947,6082,14172
Bihar,Gopalganj,2012,103,37,3,20,89,46,13,17,71,122,152,339,51,130,1,21,2173,43,0,0,190,60,278,3959,9930
Bihar,Jamalpur Rly.,2012,8,9,0,1,0,2,3,8,0,16,170,4,0,0,0,0,28,0,0,0,0,0,15,264,2540
Bihar,Jamui,2012,79,137,16,27,43,13,15,34,55,27,122,181,18,55,0,16,482,18,2,0,65,62,285,1752,5516
Bihar,Jehanabad,2012,46,12,2,8,41,6,4,14,29,30,130,103,7,17,0,3,647,24,0,0,37,36,252,1448,4908
Bihar,Katihar,2012,91,94,2,73,112,25,13,32,62,176,224,229,106,86,1,32,1662,24,1,1,111,120,793,4072,10154
Bihar,Katihar Rly.,2012,13,1,1,0,6,2,3,4,3,8,158,1,2,5,0,1,34,0,1,0,1,2,71,317,2646
Bihar,Khagaria,2012,65,72,2,18,34,19,7,19,14,39,95,151,3,29,0,14,1151,12,0,0,41,98,374,2257,6526
Bihar,Kishanganj,2012,39,0,1,32,71,1,8,6,51,51,99,174,39,10,1,2,227,19,0,0,50,32,507,1420,4852
Bihar,Lakhisarai,2012,40,86,2,13,28,11,7,13,26,26,81,141,10,48,0,6,290,10,3,0,55,57,285,1238,4488
Bihar,Madhepura,2012,56,130,4,31,56,21,10,37,30,56,147,314,42,58,0,12,1102,15,0,2,46,25,97,2293,6596
Bihar,Madhubani,2012,77,71,0,31,163,28,19,20,102,111,316,454,20,30,3,5,2109,27,0,0,195,141,965,4887,11786
Bihar,Motihari,2012,124,735,6,22,198,35,27,46,213,154,399,728,104,182,5,21,1468,67,0,16,156,55,3071,7833,17677
Bihar,Munger,2012,68,32,3,9,49,16,8,28,33,39,127,140,42,90,4,1,415,8,1,0,40,59,616,1829,5669
Bihar,Muzaffarpur,2012,198,611,12,34,220,59,48,73,284,751,718,427,28,292,0,8,2219,83,0,0,80,198,959,7306,16620
Bihar,Muzaffarpur Rly.,2012,11,0,2,2,0,1,3,10,3,50,251,12,0,11,0,0,0,0,0,0,0,0,197,553,3118
Bihar,Nalanda,2012,114,75,34,11,85,28,6,16,67,82,187,174,41,220,1,14,2540,79,7,1,116,97,996,4993,11996
Bihar,Naugachia,2012,47,95,12,2,18,3,2,8,17,17,43,119,11,41,0,4,637,10,0,0,64,51,293,1494,5000
Bihar,Nawadah,2012,82,30,4,18,57,32,5,18,52,70,117,261,61,102,0,12,602,29,0,0,13,155,1008,2729,7469
Bihar,Patna,2012,356,86,17,49,300,76,38,119,552,1503,1611,522,9,748,4,12,4157,97,19,1,377,510,2852,14015,30042
Bihar,Patna Rly.,2012,11,9,0,2,5,3,6,9,0,59,718,11,2,13,1,0,13,3,16,0,2,0,201,1088,4184
Bihar,Purnea,2012,97,228,2,39,95,47,16,17,68,60,111,175,109,143,0,137,2014,17,8,4,0,151,411,3953,9914
Bihar,Rohtas,2012,132,214,4,26,94,36,23,34,183,195,388,222,13,78,0,12,593,44,15,0,92,184,1083,3665,9342
Bihar,Saharsa,2012,53,198,6,16,76,19,1,35,44,64,130,251,54,74,2,14,303,10,0,0,72,53,946,2421,6854
Bihar,Samastipur,2012,99,241,15,24,112,19,7,38,55,108,243,320,49,82,1,57,428,34,0,0,114,159,2607,4817,11641
Bihar,Saran,2012,128,289,13,23,137,41,17,37,144,189,462,370,36,93,0,32,734,74,0,0,138,154,2142,5254,12519
Bihar,Sheikhpura,2012,30,88,2,10,27,12,6,8,34,20,53,65,37,28,1,1,426,8,0,0,37,25,271,1189,4390
Bihar,Sheohar,2012,20,6,0,2,22,10,5,6,9,20,56,51,5,6,0,7,329,9,3,0,9,7,19,603,3216
Bihar,Sitamarhi,2012,97,35,7,20,143,24,27,41,118,231,251,170,11,24,0,28,2047,30,0,0,100,153,419,3982,9970
Bihar,Siwan,2012,112,55,0,20,166,27,8,33,108,203,227,379,14,154,0,4,75,64,2,0,101,127,2500,4379,10770
Bihar,Supaul,2012,31,9,0,20,90,28,8,14,53,45,188,316,71,50,0,9,1243,15,0,0,79,98,256,2626,7261
Bihar,Vaishali,2012,122,153,13,20,171,52,14,80,152,431,394,432,97,54,1,16,2088,62,1,0,196,219,417,5186,12383
Chandigarh,Chandigarh,2001,15,10,6,18,50,6,5,22,364,494,1035,91,26,155,2,5,95,3,24,15,36,6,914,3397,8795
Chandigarh,Chandigarh,2002,31,35,7,18,47,7,1,26,336,617,1030,78,35,181,5,5,107,1,36,28,56,7,1111,3806,9613
Chandigarh,Chandigarh,2003,21,15,2,18,28,4,3,12,204,552,686,46,32,209,2,4,71,1,11,4,93,8,779,2806,7614
Chandigarh,Chandigarh,2004,22,19,10,19,43,11,0,6,186,653,806,43,23,135,4,0,65,6,20,18,73,5,720,2889,7780
Chandigarh,Chandigarh,2005,18,15,4,33,45,9,0,12,223,579,794,43,41,161,0,1,57,3,31,9,75,9,969,3133,8269
Chandigarh,Chandigarh,2006,12,21,8,19,57,8,1,34,189,529,705,44,59,232,3,5,55,10,20,13,102,14,983,3126,8255
Chandigarh,Chandigarh,2007,19,26,8,22,46,6,2,37,191,853,887,79,38,170,2,9,78,1,32,11,112,15,999,3643,9293
Chandigarh,Chandigarh,2008,17,28,6,20,42,8,1,23,257,1094,897,85,37,213,0,2,73,3,19,2,49,11,1040,3931,9866
Chandigarh,Chandigarh,2009,22,18,8,29,36,4,4,27,241,1117,614,66,38,193,4,4,63,2,26,2,51,7,976,3555,9116
Chandigarh,Chandigarh,2010,21,30,9,31,28,10,5,67,236,898,583,65,23,163,3,9,65,5,29,4,41,6,1036,3373,8750
Chandigarh,Chandigarh,2011,24,40,6,27,46,12,6,68,285,915,587,66,25,255,0,9,45,2,21,12,46,7,1036,3542,9093
Chandigarh,Chandigarh,2012,21,44,5,27,66,21,3,63,235,894,655,49,34,234,2,9,42,5,45,25,73,3,1042,3606,9215
Chhattisgarh,Balrampur,2001,13,2,0,17,1,0,17,11,26,0,21,15,0,6,0,2,30,1,18,0,7,7,40,235,2470
Chhattisgarh,Bilaspur,2001,99,42,11,69,20,0,4,37,551,72,618,166,5,23,0,17,617,7,180,10,94,93,1617,4353,10706
Chhattisgarh,Bizapur,2001,9,13,0,4,0,0,2,6,9,3,0,1,0,0,0,6,11,0,1,0,0,2,19,86,2173
Chhattisgarh,Dantewara,2001,83,37,0,19,8,3,7,5,59,5,59,14,1,5,0,5,116,1,18,1,3,31,259,739,3479
Chhattisgarh,Dhamtari,2001,14,6,0,22,4,0,2,0,125,11,99,22,3,12,0,1,127,1,41,5,6,45,450,996,3993
Chhattisgarh,Durg,2001,76,66,0,144,42,15,9,50,593,208,685,48,15,91,1,35,595,12,287,38,231,0,3302,6544,15088
Chhattisgarh,Grp Raipur,2001,2,1,0,0,0,0,2,9,8,5,192,4,0,2,0,0,8,0,4,0,1,0,77,315,2631
Chhattisgarh,Jagdalpur,2001,80,35,4,59,4,2,2,23,146,18,154,35,9,11,2,12,216,3,49,2,14,0,932,1812,5625
Chhattisgarh,Janjgir,2001,48,29,0,29,6,3,2,25,193,25,212,105,4,23,0,23,556,9,110,13,116,56,471,2059,6118
Chhattisgarh,Jashpur,2001,37,16,6,36,2,0,5,17,88,8,46,13,17,7,1,8,98,2,41,1,4,24,240,719,3437
Chhattisgarh,Kanker,2001,31,17,1,42,4,0,3,5,67,11,42,23,2,9,0,3,76,1,36,3,10,26,347,760,3520
Chhattisgarh,Kawardha,2001,19,12,2,35,0,1,1,2,69,4,39,10,2,4,0,4,167,1,45,4,15,12,236,685,3370
Chhattisgarh,Korba,2001,33,13,1,46,13,0,0,8,221,72,233,67,6,47,0,7,515,1,90,7,31,67,634,2112,6225
Chhattisgarh,Koriya,2001,35,25,4,34,7,0,3,6,228,7,146,21,3,9,0,7,163,3,102,2,31,42,764,1644,5287
Chhattisgarh,Mahasamund,2001,18,20,5,43,7,0,2,6,108,21,125,30,8,27,0,10,174,6,69,6,21,63,416,1185,4371
Chhattisgarh,Raigarh,2001,50,24,0,53,6,0,2,13,212,27,146,34,39,17,0,4,277,2,104,5,22,39,571,1650,5298
Chhattisgarh,Raipur,2001,92,102,10,104,28,10,10,58,793,347,606,110,24,64,4,28,1259,16,253,42,121,182,2518,6786,15568
Chhattisgarh,Rajnandgaon,2001,36,27,0,58,3,1,3,15,289,38,193,50,10,14,0,11,142,3,92,12,51,0,1601,2650,7300
Chhattisgarh,Sarguja,2001,105,42,1,145,16,1,11,42,359,38,276,103,6,31,0,32,330,1,223,10,62,0,1296,3130,8261
Chhattisgarh,Balrampur,2002,30,21,0,30,2,1,35,18,61,5,41,23,4,0,0,8,53,2,33,3,19,12,216,618,3237
Chhattisgarh,Bilaspur,2002,56,43,9,72,15,0,1,48,504,101,494,140,5,42,3,10,480,13,160,10,86,106,2311,4709,11420
Chhattisgarh,Bizapur,2002,19,18,0,7,2,0,14,2,14,5,8,18,0,2,0,10,20,0,1,0,0,4,95,239,2480
Chhattisgarh,Dantewara,2002,59,29,0,9,4,0,2,6,62,9,57,19,1,2,0,8,66,1,19,0,5,21,237,616,3234
Chhattisgarh,Dhamtari,2002,16,12,0,26,0,4,0,6,105,19,94,26,2,10,2,2,130,1,40,9,9,56,680,1249,4500
Chhattisgarh,Durg,2002,72,65,0,132,23,6,2,51,569,206,581,59,9,74,5,27,515,11,230,33,116,0,3334,6121,14243
Chhattisgarh,Grp Raipur,2002,2,1,0,5,0,0,0,0,8,8,199,0,1,1,0,0,6,0,1,0,0,0,88,320,2642
Chhattisgarh,Jagdalpur,2002,70,34,0,46,16,3,35,19,169,20,96,29,10,18,0,17,181,0,46,4,16,0,1080,1910,5821
Chhattisgarh,Janjgir,2002,43,24,0,42,6,0,1,18,163,27,164,78,10,16,0,24,466,13,99,8,64,74,674,2014,6030
Chhattisgarh,Jashpur,2002,54,14,2,35,0,0,9,18,59,9,73,15,2,3,1,6,67,2,16,2,4,33,342,766,3534
Chhattisgarh,Kabirdham,2002,18,6,1,20,0,2,1,3,73,7,50,26,3,3,0,8,249,0,42,3,25,26,251,817,3636
Chhattisgarh,Kanker,2002,35,6,0,37,6,0,21,4,76,6,48,22,1,2,0,28,52,1,33,4,22,39,603,1046,4094
Chhattisgarh,Korba,2002,40,10,0,38,3,1,2,18,236,86,226,45,6,19,0,16,308,9,82,10,33,93,1013,2295,6591
Chhattisgarh,Koriya,2002,21,15,1,58,6,1,0,5,203,17,117,20,2,10,1,6,177,1,72,0,21,54,723,1531,5064
Chhattisgarh,Mahasamund,2002,15,16,4,33,5,0,3,9,141,29,121,27,2,13,0,4,211,0,56,3,14,81,537,1324,4650
Chhattisgarh,Raigarh,2002,56,24,0,39,5,0,1,23,226,0,222,58,10,31,0,14,217,4,103,15,30,90,378,1547,5095
Chhattisgarh,Raipur,2002,86,63,3,159,35,5,5,36,467,242,457,59,22,102,5,22,907,20,184,34,106,274,2302,5595,13192
Chhattisgarh,Rajnandgaon,2002,51,17,0,62,7,1,5,12,216,63,100,57,3,23,0,6,127,6,86,7,41,0,1603,2494,6989
Chhattisgarh,Sarguja,2002,101,35,4,142,19,0,7,30,379,30,265,96,3,22,1,19,252,1,180,2,42,0,1109,2739,7480
Chhattisgarh,Balrampur,2003,22,19,0,24,0,4,13,11,51,3,31,16,0,1,0,7,29,3,29,3,15,12,194,488,2978
Chhattisgarh,Bilaspur,2003,95,55,27,49,12,0,3,32,549,153,526,123,9,22,4,10,480,18,165,3,87,193,2281,4896,11795
Chhattisgarh,Bizapur,2003,23,38,0,8,2,0,32,3,8,11,1,13,0,0,0,8,29,0,5,0,1,6,77,265,2533
Chhattisgarh,Dantewara,2003,44,35,0,12,3,3,8,5,56,7,22,15,0,7,0,3,75,0,14,0,4,33,259,605,3213
Chhattisgarh,Dhamtari,2003,14,7,0,32,7,1,0,4,104,37,81,21,2,18,1,7,88,3,71,8,8,58,840,1412,4827
Chhattisgarh,Durg,2003,58,50,0,117,17,4,1,45,559,38,693,40,16,82,6,15,445,13,229,31,118,0,3547,6127,14254
Chhattisgarh,Grp Raipur,2003,1,3,0,1,2,0,0,2,5,5,193,1,0,1,1,0,12,0,1,2,1,0,96,327,2657
Chhattisgarh,Jagdalpur,2003,51,34,3,71,12,0,5,18,172,32,76,40,1,17,0,8,181,0,72,4,8,0,1118,1923,5849
Chhattisgarh,Janjgir,2003,30,23,0,47,5,3,1,19,171,27,148,55,3,28,2,10,380,3,84,8,42,58,586,1733,5469
Chhattisgarh,Jashpur,2003,40,11,5,33,3,0,3,20,49,14,35,12,3,4,0,1,107,0,39,1,3,49,271,704,3410
Chhattisgarh,Kabirdham,2003,12,11,0,24,2,1,0,3,69,3,56,28,0,7,0,3,273,1,59,4,10,24,279,869,3741
Chhattisgarh,Kanker,2003,34,35,0,29,4,1,21,9,51,4,34,16,1,4,0,9,48,0,30,0,7,38,499,874,3751
Chhattisgarh,Korba,2003,32,17,0,37,6,1,1,8,239,76,229,71,5,28,1,8,131,4,97,14,40,105,1509,2661,7323
Chhattisgarh,Koriya,2003,41,12,1,40,4,0,5,6,175,15,84,26,1,9,0,5,144,0,66,1,24,37,617,1313,4629
Chhattisgarh,Mahasamund,2003,21,11,5,30,3,0,1,6,130,21,102,24,1,8,0,0,206,2,39,2,24,109,667,1412,4827
Chhattisgarh,Narayanpur,2003,11,13,0,3,1,0,7,1,9,3,7,0,2,0,0,5,9,0,0,0,1,7,35,114,2231
Chhattisgarh,Raigarh,2003,46,27,0,36,15,0,1,34,224,30,209,56,12,19,2,11,154,2,94,6,32,93,834,1941,5881
Chhattisgarh,Raipur,2003,77,53,4,126,33,8,1,41,510,365,433,46,12,117,4,10,487,15,185,15,116,336,3203,6198,14398
Chhattisgarh,Rajnandgaon,2003,36,26,6,60,6,2,7,16,214,49,101,32,5,25,3,13,113,13,67,2,28,0,1423,2247,6497
Chhattisgarh,Sarguja,2003,88,33,0,119,12,0,30,48,276,29,187,68,3,15,0,18,262,2,135,1,32,0,980,2340,6681
Chhattisgarh,Balrampur,2004,33,20,8,27,6,0,15,17,27,0,28,20,0,8,0,7,25,0,32,23,14,23,156,489,2982
Chhattisgarh,Bilaspur,2004,83,53,3,61,21,0,2,36,585,220,484,164,9,47,4,34,288,9,179,8,102,166,2769,5327,12658
Chhattisgarh,Bizapur,2004,24,59,0,3,1,0,11,3,10,8,1,9,0,2,0,14,23,1,10,0,1,9,71,260,2524
Chhattisgarh,Dantewara,2004,70,51,0,11,3,5,4,0,45,9,61,13,0,5,0,5,72,1,8,3,1,39,296,702,3408
Chhattisgarh,Dhamtari,2004,18,8,0,37,1,4,0,3,113,17,59,13,4,9,0,4,103,0,64,8,16,66,723,1270,4544
Chhattisgarh,Durg,2004,55,58,0,124,30,11,2,50,576,227,586,53,19,73,7,31,563,10,253,23,114,241,3412,6518,15040
Chhattisgarh,Grp Raipur,2004,2,5,2,2,1,1,0,5,8,7,216,3,0,4,0,0,14,0,2,0,1,1,77,351,2706
Chhattisgarh,Jagdalpur,2004,63,33,0,82,20,0,10,16,196,38,140,44,0,18,3,7,138,0,69,1,16,96,1206,2197,6397
Chhattisgarh,Janjgir,2004,55,39,1,30,5,3,3,26,213,42,226,74,6,27,4,14,282,7,104,15,75,100,1045,2398,6798
Chhattisgarh,Jashpur,2004,46,14,0,56,4,0,4,19,72,21,49,17,4,14,0,5,97,1,60,4,10,47,289,835,3672
Chhattisgarh,Kabirdham,2004,13,13,1,22,4,3,0,1,74,11,104,18,3,7,1,6,350,5,70,2,19,37,350,1114,4232
Chhattisgarh,Kanker,2004,48,45,0,22,10,2,23,14,57,15,54,32,2,5,0,7,56,0,43,2,10,43,476,966,3936
Chhattisgarh,Korba,2004,46,15,4,34,6,0,0,13,194,77,231,35,2,15,4,7,342,5,49,7,32,123,969,2210,6424
Chhattisgarh,Koriya,2004,33,18,0,50,4,0,2,16,159,26,111,20,2,20,1,11,191,2,109,1,36,66,607,1486,4975
Chhattisgarh,Mahasamund,2004,22,11,1,35,3,0,1,10,121,35,129,21,3,20,1,8,236,6,54,1,26,83,661,1489,4981
Chhattisgarh,Narayanpur,2004,21,26,0,1,0,1,12,0,9,5,13,2,1,3,0,6,22,0,2,0,0,6,35,165,2334
Chhattisgarh,Raigarh,2004,55,25,0,45,13,4,1,36,203,89,232,49,13,25,0,9,240,7,78,5,30,90,785,2035,6073
Chhattisgarh,Raipur,2004,84,59,4,143,27,4,6,42,559,349,578,77,24,71,13,24,492,10,253,19,134,384,3614,6970,15944
Chhattisgarh,Rajnandgaon,2004,45,20,0,61,2,2,2,12,192,56,154,15,4,24,1,14,115,5,74,8,40,97,1437,2380,6764
Chhattisgarh,Sarguja,2004,111,47,1,123,13,0,8,44,307,64,242,111,5,27,3,29,250,2,148,1,64,0,1165,2765,7534
Chhattisgarh,Balrampur,2005,29,16,5,36,1,4,16,14,44,4,15,24,2,0,0,6,40,0,20,5,13,19,206,521,3045
Chhattisgarh,Bilaspur,2005,94,54,11,77,36,0,4,50,530,235,544,152,8,56,14,19,368,18,154,19,117,197,2718,5477,12957
Chhattisgarh,Bizapur,2005,76,122,0,5,0,1,61,4,10,0,6,13,1,3,0,10,22,0,3,0,0,7,57,401,2807
Chhattisgarh,Dantewara,2005,73,36,0,15,5,1,13,3,57,10,48,12,1,4,1,4,56,0,12,0,2,41,304,698,3401
Chhattisgarh,Dhamtari,2005,11,7,0,26,9,0,0,3,136,25,103,20,3,5,2,6,90,2,80,11,15,81,674,1309,4623
Chhattisgarh,Durg,2005,90,65,0,128,19,9,1,71,508,285,665,54,12,76,5,32,494,14,216,23,107,276,3495,6647,15297
Chhattisgarh,Grp Raipur,2005,5,5,0,2,1,0,0,6,11,17,221,5,0,1,2,1,17,2,6,0,2,2,79,385,2775
Chhattisgarh,Jagdalpur,2005,63,44,0,74,0,9,8,12,177,29,144,54,1,31,3,7,170,3,50,2,24,127,1051,2087,6175
Chhattisgarh,Janjgir,2005,50,20,2,43,5,5,3,8,223,77,224,102,8,25,7,6,273,12,77,8,104,106,1317,2705,7415
Chhattisgarh,Jashpur,2005,63,20,4,68,18,1,7,34,78,26,46,16,3,22,1,5,145,3,45,10,6,46,290,959,3921
Chhattisgarh,Kabirdham,2005,16,8,2,24,4,0,0,1,92,15,104,23,0,8,0,6,332,1,55,3,31,22,371,1119,4242
Chhattisgarh,Kanker,2005,40,28,0,32,9,2,28,14,58,9,55,37,2,4,2,17,68,0,26,0,9,47,535,1022,4049
Chhattisgarh,Korba,2005,35,12,3,27,2,1,2,15,136,97,225,33,1,20,3,10,419,7,48,4,29,132,822,2083,6171
Chhattisgarh,Koriya,2005,34,20,1,51,5,0,4,15,142,18,110,27,1,15,0,4,150,3,64,1,43,66,568,1343,4690
Chhattisgarh,Mahasamund,2005,19,9,2,25,5,2,2,10,120,43,176,13,6,21,3,9,213,3,81,6,23,92,666,1551,5105
Chhattisgarh,Narayanpur,2005,13,41,0,1,0,0,24,7,8,0,6,1,3,0,0,6,19,0,6,0,1,5,22,163,2331
Chhattisgarh,Raigarh,2005,62,29,2,35,11,0,8,30,175,133,297,61,10,22,1,14,159,9,64,2,32,144,933,2234,6472
Chhattisgarh,Raipur,2005,92,59,2,125,41,5,4,42,619,474,553,101,38,80,27,19,373,16,235,29,94,352,4072,7454,16911
Chhattisgarh,Rajnandgaon,2005,40,26,0,81,6,2,7,16,157,59,175,29,2,16,0,17,121,5,69,6,25,124,1432,2419,6839
Chhattisgarh,Sarguja,2005,52,22,5,74,0,19,10,28,210,48,150,70,4,18,2,12,96,1,77,1,31,53,859,1843,5690
Chhattisgarh,Surajpur,2005,56,17,2,41,7,1,2,18,130,15,114,46,4,4,0,4,109,1,62,2,24,65,488,1213,4430
Chhattisgarh,Balrampur,2006,38,23,0,45,1,0,10,16,41,2,19,19,1,6,0,3,170,0,40,0,9,20,139,603,3211
Chhattisgarh,Bilaspur,2006,95,62,1,68,27,0,5,55,492,265,436,147,11,52,2,25,1301,23,192,13,120,227,1682,5301,12608
Chhattisgarh,Bizapur,2006,139,181,1,6,0,7,43,2,3,0,7,19,1,7,0,11,17,0,3,0,1,9,63,522,3048
Chhattisgarh,Dantewara,2006,88,85,0,14,9,7,17,1,65,5,50,28,6,5,0,18,47,1,11,1,4,32,290,784,3574
Chhattisgarh,Dhamtari,2006,21,11,0,27,4,0,0,5,116,20,109,32,1,18,3,6,103,0,62,10,16,85,814,1463,4932
Chhattisgarh,Durg,2006,71,54,6,108,18,15,5,63,484,290,590,51,21,116,3,29,753,19,241,27,102,321,3550,6938,15881
Chhattisgarh,Grp Raipur,2006,4,1,0,1,0,0,1,6,9,11,219,1,1,0,0,0,19,0,3,2,3,1,104,386,2778
Chhattisgarh,Jagdalpur,2006,62,38,0,71,13,1,5,19,191,33,123,61,1,12,0,8,220,4,55,0,18,112,1145,2197,6395
Chhattisgarh,Janjgir,2006,47,43,0,40,9,3,1,22,232,44,211,104,7,29,3,8,243,10,109,10,90,115,1470,2851,7707
Chhattisgarh,Jashpur,2006,47,10,1,62,7,1,6,32,60,24,42,20,3,12,3,12,148,1,46,3,11,63,359,974,3953
Chhattisgarh,Kabirdham,2006,14,10,0,36,0,1,0,3,75,21,67,15,0,4,0,6,408,1,67,8,35,41,359,1171,4348
Chhattisgarh,Kanker,2006,36,40,1,23,6,3,9,13,65,15,69,33,0,5,4,11,60,2,20,5,13,63,520,1017,4039
Chhattisgarh,Korba,2006,43,17,0,40,4,1,8,25,145,110,187,44,1,29,2,5,480,5,86,6,27,147,895,2311,6624
Chhattisgarh,Koriya,2006,35,27,0,51,5,2,11,12,126,17,86,14,2,12,0,15,432,0,64,2,27,62,366,1368,4742
Chhattisgarh,Mahasamund,2006,21,16,0,32,2,1,3,12,131,51,147,21,1,16,1,7,202,2,64,3,20,113,650,1517,5039
Chhattisgarh,Narayanpur,2006,23,43,0,2,0,5,1,1,3,0,5,0,0,0,0,6,21,0,3,0,0,3,40,156,2318
Chhattisgarh,Raigarh,2006,54,21,0,38,7,0,14,23,213,83,275,67,15,17,1,18,348,4,92,9,22,152,893,2369,6741
Chhattisgarh,Raipur,2006,106,66,2,130,42,12,6,48,662,502,653,126,44,97,9,39,1374,25,228,34,98,443,3186,7932,17870
Chhattisgarh,Rajnandgaon,2006,50,31,1,69,9,1,2,19,168,71,160,24,11,24,1,13,96,5,83,7,40,104,1579,2569,7143
Chhattisgarh,Sarguja,2006,56,26,2,75,11,0,5,38,114,49,99,37,6,27,0,7,100,0,72,1,29,62,747,1566,5135
